policy_id,location_id,year,region,occupancy,exposure_years,insured_value,policy_limit,deductible,bi_waiting_period_days,current_premium,pm25,ozone,turbidity,water_quality_index,temperature_c,annual_rainfall_mm,drought_indicator,air_stress_flag,water_stress_flag,air_trigger_flag,water_trigger_flag,compound_trigger_flag,insured_trigger_type,bi_waiting_period_met_flag,air_filtration,water_treatment,business_continuity_plan,air_filtration_upgrade_cost,water_treatment_upgrade_cost,bcp_upgrade_cost,claim_count,aggregate_ground_up_loss,aggregate_covered_loss,aggregate_paid_loss
POL001-2024,LOC001,2024,Drylands,Hospital,0.726,30810000,10780000,75000,2,83300,30.9,61.6,1.85,54.9,28.3,451.9,0.588,0,1,0,0,0,None,0,0,0,0,109000,147000,60000,0,0.0,0.0,0.0
POL001-2025,LOC001,2025,Drylands,Hospital,0.702,32530000,11390000,50000,1,84600,40.1,66.8,4.39,64.7,33.6,418.0,0.838,1,0,0,0,0,None,0,0,0,0,109000,147000,60000,0,0.0,0.0,0.0
POL001-2026,LOC001,2026,Drylands,Hospital,0.731,32220000,16110000,100000,2,82100,37.3,82.7,6.65,54.9,32.2,467.3,0.642,1,1,0,0,0,None,0,0,0,0,109000,147000,60000,0,0.0,0.0,0.0
POL002-2024,LOC002,2024,Central Metro,Manufacturing,0.738,12070000,6040000,60000,2,27300,41.3,80.8,1.32,68.9,28.6,784.4,0.257,1,0,0,0,0,None,0,1,0,0,0,96000,45000,0,0.0,0.0,0.0
POL002-2025,LOC002,2025,Central Metro,Manufacturing,0.997,12140000,6070000,40000,1,35500,46.7,77.7,3.96,67.9,32.2,778.4,0.34,1,0,1,0,0,Air,1,1,0,0,0,96000,45000,1,101868.09,101868.09,61868.09
POL002-2026,LOC002,2026,Central Metro,Manufacturing,0.842,12830000,6420000,80000,2,32200,45.0,68.4,4.08,64.4,25.7,890.9,0.485,1,0,0,0,0,None,0,1,0,0,0,96000,45000,0,0.0,0.0,0.0
POL003-2024,LOC003,2024,Coastview,Manufacturing,0.698,25020000,12510000,60000,3,53400,24.0,50.3,5.72,68.2,27.8,1496.3,0.101,0,1,0,0,0,None,0,0,0,0,101000,132000,59000,0,0.0,0.0,0.0
POL003-2025,LOC003,2025,Coastview,Manufacturing,0.723,25510000,12760000,80000,1,51800,32.9,43.0,6.49,65.9,28.1,1331.6,0.274,0,1,0,0,0,None,0,0,0,0,101000,132000,59000,0,0.0,0.0,0.0
POL003-2026,LOC003,2026,Coastview,Manufacturing,0.937,27100000,9480000,40000,1,69500,35.8,51.5,3.46,49.3,29.0,1217.7,0.183,1,1,0,0,0,None,0,0,0,0,101000,132000,59000,0,0.0,0.0,0.0
POL004-2024,LOC004,2024,Northgate,Manufacturing,0.785,27140000,13570000,40000,1,57700,32.2,47.0,0.7,69.1,22.5,824.3,0.233,0,0,0,0,0,None,0,1,0,0,0,127000,59000,0,0.0,0.0,0.0
